subject,hemi,mask,annotated_feature,correlation
sub-10,right,STS,speaking,0.022833006361488568
sub-10,right,STS,turn_taking,0.02296679020930023
sub-10,right,STS,mentalization,0.02109653873279932
sub-10,right,STS,written_text,0.014301472434334375
sub-14,left,MT,pixel,0.01198712602257796
sub-14,left,MT,hue,0.00503227965454071
sub-14,left,MT,face,-0.022958791740370882
sub-14,left,MT,num_agents,-0.0014811487850585581
sub-14,left,MT,social,-0.023064128496013647
sub-14,left,MT,valence,0.0008046002398373257
sub-14,left,MT,arousal,0.004277211972775999
sub-14,left,MT,pitch,-0.009433838984528733
sub-14,left,MT,amplitude,0.014167250097120098
sub-14,left,MT,music,-0.011030423120555657
sub-14,left,MT,speaking,-0.01638489693668324
sub-14,left,MT,turn_taking,-0.006424406824014439
sub-14,left,MT,mentalization,-0.0008977173037307042
sub-14,left,MT,written_text,0.00985528473909584
sub-14,right,MT,pixel,-0.005432077005121631
sub-14,right,MT,hue,-0.0007905474845494025
sub-14,right,MT,face,0.001110985058188709
sub-14,right,MT,num_agents,0.0071631012330524105
sub-14,right,MT,social,0.0006099604810464727
sub-14,right,MT,valence,0.04319896177989162
sub-14,right,MT,arousal,0.008236226320672056
sub-14,right,MT,pitch,-0.00705142478944667
sub-14,right,MT,amplitude,0.001398482344582432
sub-14,right,MT,music,-0.0029686865948200182
sub-14,right,MT,speaking,0.005280758820061053
sub-14,right,MT,turn_taking,0.007430129057155385
sub-14,right,MT,mentalization,0.008511667698678706
sub-14,right,MT,written_text,-0.00221388451959123
sub-14,left,STS,pixel,-0.0224570261829399
sub-14,left,STS,hue,0.03453937281730597
sub-14,left,STS,face,0.01186656843703583
sub-14,left,STS,num_agents,0.01273482968859095
sub-14,left,STS,social,0.003618866467299298
sub-14,left,STS,valence,0.010424800355903974
sub-14,left,STS,arousal,0.027075366850826028
sub-14,left,STS,pitch,-0.006472002124539773
sub-14,left,STS,amplitude,0.006601504155314258
sub-14,left,STS,music,0.009651623746683852
sub-14,left,STS,speaking,0.004339460692646656
sub-14,left,STS,turn_taking,0.00797429443102308
sub-14,left,STS,mentalization,0.03109344970717715
sub-14,left,STS,written_text,0.014070926915050635
sub-14,right,STS,pixel,0.00019313373230205852
sub-14,right,STS,hue,0.026449099620493664
sub-14,right,STS,face,0.016234443835375343
sub-14,right,STS,num_agents,0.004814557636455177
sub-14,right,STS,social,0.015545088856484769
sub-14,right,STS,valence,0.029976518362811767
sub-14,right,STS,arousal,0.008756316195273473
sub-14,right,STS,pitch,-0.015112963220607798
sub-14,right,STS,amplitude,-0.01003305513231586
sub-14,right,STS,music,0.00035152990971062394
sub-14,right,STS,speaking,0.013437968721259089
sub-14,right,STS,turn_taking,0.015237420808312396
sub-14,right,STS,mentalization,0.01512653240148947
sub-14,right,STS,written_text,0.0013166844493050676
sub-15,left,MT,pixel,0.03917980095556341
sub-15,left,MT,hue,-0.03278628899383025
sub-15,left,MT,face,-0.022142088905198774
sub-15,left,MT,num_agents,-0.0060476484657679885
sub-15,left,MT,social,-0.023191171680106967
sub-15,left,MT,valence,-0.06043399909225217
sub-15,left,MT,arousal,0.004060842986719868
sub-15,left,MT,pitch,0.004060520066785184
sub-15,left,MT,amplitude,0.011113696561889473
sub-15,left,MT,music,-0.009796729212590215
sub-15,left,MT,speaking,-0.004424132026713466
sub-15,left,MT,turn_taking,-0.007714887087607082
sub-15,left,MT,mentalization,-0.016974029012619758
sub-15,left,MT,written_text,0.018643562884215346
sub-15,right,MT,pixel,0.02461799407552886
sub-15,right,MT,hue,-0.029869837620611593
sub-15,right,MT,face,-0.021727421838781288
sub-15,right,MT,num_agents,-0.005607122662695145
