subject,annotated_feature,region,method,score
sub-32,face,MT,cca,0.04041136102477616
sub-32,face,STS,cca,0.0685048898425575
sub-32,face,temporal,cca,0.08135388293081265
sub-32,face,frontal,cca,-0.003046448805506352
sub-32,number of agents,MT,cca,0.015347818447407558
sub-32,number of agents,STS,cca,0.0212235396545394
sub-32,number of agents,temporal,cca,0.041192292205167645
sub-32,number of agents,frontal,cca,0.015424649657898692
sub-32,social,MT,cca,0.05932009864627863
sub-32,social,STS,cca,0.09997288660166062
sub-32,social,temporal,cca,0.06629840584811797
sub-32,social,frontal,cca,0.017397993195670924
sub-32,valence,MT,cca,0.09659134886928164
sub-32,valence,STS,cca,0.15263612971194904
sub-32,valence,temporal,cca,0.13056782647026846
sub-32,valence,frontal,cca,0.09118427577552217
sub-32,arousal,MT,cca,-0.08216331892035225
sub-32,arousal,STS,cca,0.11052257705781202
sub-32,arousal,temporal,cca,0.07099105550853588
sub-32,arousal,frontal,cca,-0.04567404278880978
sub-32,pitch,MT,cca,0.07164512336041592
sub-32,pitch,STS,cca,-0.12674788153690802
sub-32,pitch,temporal,cca,0.039705349302846346
sub-32,pitch,frontal,cca,-0.13439122148257002
sub-32,amplitude,MT,cca,-0.06427229088568458
sub-32,amplitude,STS,cca,0.03855904607079075
sub-32,amplitude,temporal,cca,-0.0007017978307515937
sub-32,amplitude,frontal,cca,0.02161601188940192
sub-32,music,MT,cca,-0.03501648979915637
sub-32,music,STS,cca,0.02412519067828054
sub-32,music,temporal,cca,0.08757197866595909
sub-32,music,frontal,cca,0.022891953437229072
sub-32,speaking,MT,cca,-0.03627730649162027
sub-32,speaking,STS,cca,0.038631124532494975
