subject,feature,region,hemi,method,c_x,c_y,n_units_tuned
sub-14,mentalization,STS,,cca,1e-05,0.1,2
sub-14,written_text,MT,,cca,0.01,1e-05,1
sub-14,written_text,STS,,cca,1.0,0.1,2
sub-15,pixel,MT,,cca,1e-05,0.31622776601683794,2
sub-15,pixel,STS,,cca,1.0,1.0,2
sub-15,hue,MT,,cca,1e-05,1.0,2
sub-15,hue,STS,,cca,1.0,1.0,2
sub-15,face,MT,,cca,1.0,0.01,2
sub-15,face,STS,,cca,1e-05,3.1622776601683795e-05,2
sub-15,num_agents,MT,,cca,1.0,1e-05,2
sub-15,num_agents,STS,,cca,1e-05,0.01,2
sub-15,social,MT,,cca,1.0,0.001,2
sub-15,social,STS,,cca,1.0,0.01,2
sub-15,valence,MT,,cca,1.0,0.03162277660168379,2
sub-15,valence,STS,,cca,1.0,0.03162277660168379,2
sub-15,arousal,MT,,cca,1.0,0.31622776601683794,2
sub-15,arousal,STS,,cca,1.0,0.31622776601683794,2
sub-15,pitch,MT,,cca,1.0,0.0031622776601683794,2
sub-15,pitch,STS,,cca,1e-05,0.0001,2
sub-15,amplitude,MT,,cca,1e-05,0.01,2
sub-15,amplitude,STS,,cca,1e-05,1e-05,2
sub-15,music,MT,,cca,1e-05,0.31622776601683794,2
sub-15,music,STS,,cca,1.0,0.0031622776601683794,2
sub-15,speaking,MT,,cca,1.0,1e-05,2
sub-15,speaking,STS,,cca,1e-05,1.0,2
sub-15,turn_taking,MT,,cca,1.0,1.0,2
sub-15,turn_taking,STS,,cca,1e-05,0.0031622776601683794,2
sub-15,mentalization,MT,,cca,1.0,0.03162277660168379,2
sub-15,mentalization,STS,,cca,1e-05,0.0031622776601683794,2
sub-15,written_text,MT,,cca,1.0,0.1,2
sub-15,written_text,STS,,cca,1.0,0.0001,2
sub-16,pixel,MT,,cca,0.01,0.01,1
sub-16,pixel,STS,,cca,1e-05,0.31622776601683794,2
sub-16,hue,MT,,cca,0.01,0.01,1
sub-16,hue,STS,,cca,1e-05,1.0,2
sub-16,face,MT,,cca,0.01,0.03162277660168379,1
sub-16,face,STS,,cca,1.0,0.001,2
sub-16,num_agents,MT,,cca,1e-05,0.0001,1
sub-16,num_agents,STS,,cca,1e-05,0.01,2
sub-16,social,MT,,cca,0.0031622776601683794,0.31622776601683794,1
sub-16,social,STS,,cca,1.0,0.001,2
sub-16,valence,MT,,cca,0.01,0.31622776601683794,1
sub-16,valence,STS,,cca,1.0,1.0,2
sub-16,arousal,MT,,cca,0.00031622776601683794,0.1,1
sub-16,arousal,STS,,cca,1e-05,3.1622776601683795e-05,2
sub-16,pitch,MT,,cca,0.01,0.03162277660168379,1
sub-16,pitch,STS,,cca,1.0,0.00031622776601683794,2
sub-16,amplitude,MT,,cca,0.01,0.31622776601683794,1
sub-16,amplitude,STS,,cca,1.0,0.001,2
sub-16,music,MT,,cca,0.1,0.0031622776601683794,1
sub-16,music,STS,,cca,1.0,0.1,2
sub-16,speaking,MT,,cca,0.0001,0.0001,1
sub-16,speaking,STS,,cca,1e-05,0.01,2
sub-16,turn_taking,MT,,cca,1e-05,1.0,1
sub-16,turn_taking,STS,,cca,1.0,0.0001,2
sub-16,mentalization,MT,,cca,0.01,0.0001,1
sub-16,mentalization,STS,,cca,1e-05,0.001,2
